"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R12","R_1608","259.55mm","521mm","259.55mm","521mm","260.25mm","521mm","B","180.00","10K"
"R11","R_1608","299.5mm","514mm","299.5mm","514mm","300.2mm","514mm","B","180.00","1K"
"R10","R_1608","299.5mm","512.5mm","299.5mm","512.5mm","300.2mm","512.5mm","B","180.00","10K"
"R9","R_1608","259.55mm","525.5mm","259.55mm","525.5mm","260.25mm","525.5mm","B","180.00","10K"
"R8","R_1608","314.5mm","513.99mm","314.5mm","513.99mm","315.2mm","513.99mm","B","180.00","1K"
"R7","R_1608","330mm","514mm","330mm","514mm","330.7mm","514mm","B","180.00","1K"
"R6","R_1608","259.5mm","531.5mm","259.5mm","531.5mm","260.2mm","531.5mm","B","180.00","100"
"R5","R_1608","295mm","525.5mm","295mm","525.5mm","295mm","524.8mm","B","90.00","10K"
"R4","R_1608","314.5mm","512.5mm","314.5mm","512.5mm","315.2mm","512.5mm","B","180.00","10K"
"R3","R_1608","330mm","512.5mm","330mm","512.5mm","330.7mm","512.5mm","B","180.00","10K"
"R2","R_1608","259.5mm","530mm","259.5mm","530mm","260.2mm","530mm","B","180.00","10K"
"R1","R_1608","168mm","511mm","168mm","511mm","168.7mm","511mm","B","180.00","1K"
"Q31","SOT-23_N","253.55mm","520mm","253.55mm","520mm","254.675mm","520.95mm","B","180.00","MMBT2222A"
"Q30","SOT-23_KRC","206mm","536.5mm","206mm","536.5mm","207.125mm","535.55mm","B","180.00","KRC105S"
"Q29","SOT-23_N","253.55mm","524.5mm","253.55mm","524.5mm","254.675mm","525.45mm","B","180.00","MMBT2222A"
"Q28","SOT-23_KRC","206mm","531.5mm","206mm","531.5mm","207.125mm","530.55mm","B","180.00","KRC105S"
"Q27","SOT-23_KRC","354mm","492mm","354mm","492mm","354.95mm","493.125mm","B","270.00","KRC105S"
"Q26","SOT-23_KRC","349mm","492mm","349mm","492mm","349.95mm","493.125mm","B","270.00","KRC105S"
"Q25","SOT-23_KRC","344mm","492mm","344mm","492mm","344.95mm","493.125mm","B","270.00","KRC105S"
"Q24","SOT-23_KRC","339mm","492mm","339mm","492mm","339.95mm","493.125mm","B","270.00","KRC105S"
"Q23","SOT-23_KRC","285mm","492mm","285mm","492mm","285.95mm","493.125mm","B","270.00","KRC105S"
"Q22","SOT-23_KRC","280mm","491.875mm","280mm","491.875mm","280.95mm","493mm","B","270.00","KRC105S"
"Q21","SOT-23_KRC","275mm","492mm","275mm","492mm","275.95mm","493.125mm","B","270.00","KRC105S"
"Q20","SOT-23_KRC","270mm","492mm","270mm","492mm","270.95mm","493.125mm","B","270.00","KRC105S"
"Q19","SOT-23_KRC","265mm","491.875mm","265mm","491.875mm","265.95mm","493mm","B","270.00","KRC105S"
"Q18","SOT-23_KRC","260mm","491.875mm","260mm","491.875mm","260.95mm","493mm","B","270.00","KRC105S"
"Q17","SOT-23_KRC","255mm","492mm","255mm","492mm","255.95mm","493.125mm","B","270.00","KRC105S"
"Q16","SOT-23_KRC","250mm","492mm","250mm","492mm","250.95mm","493.125mm","B","270.00","KRC105S"
"Q15","SOT-23_KRC","155mm","492mm","155mm","492mm","155.95mm","493.125mm","B","270.00","KRC105S"
"Q14","SOT-23_KRC","150mm","492mm","150mm","492mm","150.95mm","493.125mm","B","270.00","KRC105S"
"Q13","SOT-23_KRC","145mm","492mm","145mm","492mm","145.95mm","493.125mm","B","270.00","KRC105S"
"Q12","SOT-23_KRC","140mm","492mm","140mm","492mm","140.95mm","493.125mm","B","270.00","KRC105S"
"Q11","SOT-23_KRC","135mm","492mm","135mm","492mm","135.95mm","493.125mm","B","270.00","KRC105S"
"Q10","SOT-23_KRC","130mm","492mm","130mm","492mm","130.95mm","493.125mm","B","270.00","KRC105S"
"Q9","SOT-23_KRC","125mm","492mm","125mm","492mm","125.95mm","493.125mm","B","270.00","KRC105S"
"Q8","SOT-23_KRC","120mm","492mm","120mm","492mm","120.95mm","493.125mm","B","270.00","KRC105S"
"Q7","SOT-23_KRC","75mm","492.1mm","75mm","492.1mm","75.95mm","493.225mm","B","270.00","KRC105S"
"Q6","SOT-23_KRC","70mm","492.1mm","70mm","492.1mm","70.95mm","493.225mm","B","270.00","KRC105S"
"Q5","SOT-23_KRC","65mm","492.1mm","65mm","492.1mm","65.95mm","493.225mm","B","270.00","KRC105S"
"Q4","SOT-23_KRC","60mm","492.1mm","60mm","492.1mm","60.95mm","493.225mm","B","270.00","KRC105S"
"Q3","SOT-23_KRC","55mm","492.1mm","55mm","492.1mm","55.95mm","493.225mm","B","270.00","KRC105S"
"Q2","SOT-23_KRC","50mm","492.1mm","50mm","492.1mm","50.95mm","493.225mm","B","270.00","KRC105S"
"Q1","SOT-23_KRC","45mm","492mm","45mm","492mm","45.95mm","493.125mm","B","270.00","KRC105S"
"Q0","SOT-23_KRC","40mm","492mm","40mm","492mm","40.95mm","493.125mm","B","270.00","KRC105S"
"ILED2","LED_WS2812C-2020","337mm","523mm","337mm","523mm","338mm","522.5mm","T","360.00","WS2812C-2020"
"L1","COIL_CYH125","126mm","522.5mm","126mm","522.5mm","126mm","527.5mm","B","360.00","100uH"
"ILED1","LED_WS2812C-2020","337mm","530mm","337mm","530mm","338mm","529.5mm","T","360.00","WS2812C-2020"
"H8","HOLE-3p2","240mm","500mm","240mm","500mm","240mm","500mm","T","0.00","HOLE"
"H7","HOLE-3p2","81mm","500mm","81mm","500mm","81mm","500mm","T","0.00","HOLE"
"H6","HOLE-3p2","356mm","541mm","356mm","541mm","356mm","541mm","T","0.00","HOLE"
"H5","HOLE-3p2","35mm","541mm","35mm","541mm","35mm","541mm","T","0.00","HOLE"
"H4","HOLE-3p2","386mm","491mm","386mm","491mm","386mm","491mm","T","0.00","HOLE"
"H3","HOLE-3p2","5mm","491mm","5mm","491mm","5mm","491mm","T","0.00","HOLE"
"H2","HOLE-3p2","385mm","5mm","385mm","5mm","385mm","5mm","T","0.00","HOLE"
"F1","PTC_FSMD260R","48mm","535.5mm","48mm","535.5mm","45.75mm","535.5mm","B","360.00","FSMD020-60-R"
"EC9","EC_MVG_F80","62mm","519mm","62mm","519mm","62mm","522.5mm","B","90.00","220uF/16V"
"EC8","EC_MVG_F80","70mm","519mm","70mm","519mm","70mm","522.5mm","B","90.00","220uF/16V"
"EC7","EC_MVG_F80","78mm","519mm","78mm","519mm","78mm","522.5mm","B","90.00","220uF/16V"
"EC6","EC_MVG_F80","86mm","519mm","86mm","519mm","86mm","522.5mm","B","90.00","220uF/16V"
"EC5","EC_MVG_F80","62mm","533mm","62mm","533mm","62mm","536.5mm","B","90.00","22uF/63V"
"EC4","EC_MVG_F80","70mm","533mm","70mm","533mm","70mm","536.5mm","B","90.00","22uF/63V"
"EC3","EC_MVG_F80","78mm","533mm","78mm","533mm","78mm","536.5mm","B","90.00","22uF/63V"
"EC2","EC_MVG_F80","86mm","533mm","86mm","533mm","86mm","536.5mm","B","90.00","22uF/63V"
"EC1","EC_MVG_F80","94mm","533mm","94mm","533mm","94mm","536.5mm","B","90.00","22uF/63V"
"D3","D_SOD-323","148.5mm","532mm","148.5mm","532mm","148.5mm","533.5mm","B","270.00","BS5819WS"
"D2","D_DO-214AA","123.5mm","535mm","123.5mm","535mm","121mm","535mm","B","360.00","1N5822"
"D1","D_SOD-323","145.5mm","532mm","145.5mm","532mm","145.5mm","533.5mm","B","270.00","BS5819WS"
"CN3","HEADER_2.54MM_MPAD","35mm","524.65mm","35mm","531mm","35mm","531mm","B","180.00","2.54mm 6P"
"CN2","HEADER_2.54MM_MPAD","356mm","524.65mm","356mm","531mm","356mm","531mm","B","180.00","2.54mm 6P"
"CN1","HDR1X6","284.85mm","517mm","278.5mm","517mm","278.5mm","517mm","B","0.00","2.54mm 6P"
"C1020","C_1608","170.5mm","519.5mm","170.5mm","519.5mm","170.5mm","518.8mm","B","90.00","104"
"C1019","C_1608","169mm","519.5mm","169mm","519.5mm","169mm","518.8mm","B","90.00","106/10V"
"C1018","C_1608","163mm","525.5mm","163mm","525.5mm","162.3mm","525.5mm","B","360.00","106/10V"
"C1017","C_1608","92mm","519mm","92mm","519mm","92mm","518.3mm","B","90.00","104"
"C1016","C_1608","171.5mm","531mm","171.5mm","531mm","171.5mm","530.3mm","B","90.00","106"
"C1015","C_1608","170mm","531mm","170mm","531mm","170mm","531.7mm","B","270.00","104"
"C1014","C_1608","155mm","531mm","155mm","531mm","155mm","531.7mm","B","270.00","104"
"C1013","C_1608","153.5mm","531mm","153.5mm","531mm","153.5mm","530.3mm","B","90.00","106"
"C1012","C_2012","101mm","533mm","101mm","533mm","101mm","531.8mm","B","90.00","104/63V"
"C1011","C_2012","55mm","533mm","55mm","533mm","55mm","531.8mm","B","90.00","104/63V"
"C1010","C_1608","155mm","515mm","155mm","515mm","155mm","515.7mm","B","270.00","104"
"C1009","C_1608","153.5mm","515mm","153.5mm","515mm","153.5mm","515.7mm","B","270.00","106/10V"
"C1008","C_1608","155mm","525mm","155mm","525mm","155mm","524.3mm","B","90.00","104"
"C1007","C_1608","153.5mm","525mm","153.5mm","525mm","153.5mm","524.3mm","B","90.00","106/10V"
"C1006","C_1608","176.5mm","509mm","176.5mm","509mm","175.8mm","509mm","B","360.00","101"
"C1005","C_1608","199mm","509.5mm","199mm","509.5mm","198.3mm","509.5mm","B","360.00","102"
"C1004","C_1608","184mm","507.5mm","184mm","507.5mm","183.3mm","507.5mm","B","360.00","102"
"C1003","C_1608","176.5mm","506mm","176.5mm","506mm","175.8mm","506mm","B","360.00","101"
"C1002","C_1608","184mm","514.5mm","184mm","514.5mm","183.3mm","514.5mm","B","360.00","101"
"C1001","C_1608","317mm","521mm","317mm","521mm","316.3mm","521mm","B","360.00","104"
"C1000","C_1608","176.5mm","514.5mm","176.5mm","514.5mm","175.8mm","514.5mm","B","360.00","101"
"C999","C_1608","199mm","520mm","199mm","520mm","198.3mm","520mm","B","360.00","102"
"C998","C_1608","176.5mm","520.5mm","176.5mm","520.5mm","175.8mm","520.5mm","B","360.00","101"
"C997","C_1608","337mm","521mm","337mm","521mm","336.3mm","521mm","B","360.00","104"
"C996","C_1608","337mm","528mm","337mm","528mm","336.3mm","528mm","B","360.00","104"
"C995","C_1608","259.5mm","533mm","259.5mm","533mm","260.2mm","533mm","B","180.00","104"
"C994","C_1608","246mm","530.5mm","246mm","530.5mm","246mm","531.2mm","B","270.00","104"
"C993","C_1608","247.5mm","530.5mm","247.5mm","530.5mm","247.5mm","529.8mm","B","90.00","106"
"C992","C_1608","345.5mm","505mm","345.5mm","505mm","345.5mm","505.7mm","B","270.00","104"
"C991","C_1608","265.5mm","505mm","265.5mm","505mm","265.5mm","505.7mm","B","270.00","104"
"C990","C_1608","135.5mm","505mm","135.5mm","505mm","135.5mm","505.7mm","B","270.00","104"
"C989","C_1608","55.5mm","505mm","55.5mm","505mm","55.5mm","505.7mm","B","270.00","104"
"C988","C_1608","219mm","494mm","219mm","494mm","219mm","494.7mm","B","270.00","104"
"C987","C_1608","205mm","494mm","205mm","494mm","205mm","494.7mm","B","270.00","104"
"C986","C_1608","191mm","494mm","191mm","494mm","191mm","494.7mm","B","270.00","104"
"C985","C_1608","177mm","494mm","177mm","494mm","177mm","494.7mm","B","270.00","104"
"C984","C_1608","163mm","494mm","163mm","494mm","163mm","494.7mm","B","270.00","104"
"C983","C_1608","335mm","505mm","335mm","505mm","335mm","505.7mm","B","270.00","104"
"C982","C_1608","255mm","505mm","255mm","505mm","255mm","505.7mm","B","270.00","104"
"C981","C_1608","125mm","505mm","125mm","505mm","125mm","505.7mm","B","270.00","104"
"C980","C_1608","45mm","505mm","45mm","505mm","45mm","505.7mm","B","270.00","104"
"BZ2","BZ-FUET-5018","197mm","535mm","197mm","535mm","199mm","533.25mm","B","180.00","FUET-5018"
"BZ1","BZ-FUET-9025","183.75mm","533.5mm","183.75mm","533.5mm","188.25mm","533.5mm","B","180.00","FUET-9025"
"BD1","L2012N","153.5mm","519.5mm","153.5mm","519.5mm","153.5mm","520.4mm","B","270.00","BLM21PG221SN1"
"SP951","SEN_POINT_11P8x9-2","384.5mm","479mm","384.5mm","479mm","384.5mm","475mm","T","0.00","SEN_POINT"
"SP923","SEN_POINT_11P8x9-2","384.5mm","465mm","384.5mm","465mm","384.5mm","461mm","T","0.00","SEN_POINT"
"SP895","SEN_POINT_11P8x9-2","384.5mm","451mm","384.5mm","451mm","384.5mm","447mm","T","0.00","SEN_POINT"
"SP867","SEN_POINT_11P8x9-2","384.5mm","437mm","384.5mm","437mm","384.5mm","433mm","T","0.00","SEN_POINT"
"SP839","SEN_POINT_11P8x9-2","384.5mm","423mm","384.5mm","423mm","384.5mm","419mm","T","0.00","SEN_POINT"
"SP811","SEN_POINT_11P8x9-2","384.5mm","409mm","384.5mm","409mm","384.5mm","405mm","T","0.00","SEN_POINT"
"SP783","SEN_POINT_11P8x9-2","384.5mm","395mm","384.5mm","395mm","384.5mm","391mm","T","0.00","SEN_POINT"
"SP755","SEN_POINT_11P8x9-2","384.5mm","381mm","384.5mm","381mm","384.5mm","377mm","T","0.00","SEN_POINT"
"SP727","SEN_POINT_11P8x9-2","384.5mm","367mm","384.5mm","367mm","384.5mm","363mm","T","0.00","SEN_POINT"
"SP699","SEN_POINT_11P8x9-2","384.5mm","353mm","384.5mm","353mm","384.5mm","349mm","T","0.00","SEN_POINT"
"SP671","SEN_POINT_11P8x9-2","384.5mm","339mm","384.5mm","339mm","384.5mm","335mm","T","0.00","SEN_POINT"
"SP643","SEN_POINT_11P8x9-2","384.5mm","325mm","384.5mm","325mm","384.5mm","321mm","T","0.00","SEN_POINT"
"SP615","SEN_POINT_11P8x9-2","384.5mm","311mm","384.5mm","311mm","384.5mm","307mm","T","0.00","SEN_POINT"
"SP587","SEN_POINT_11P8x9-2","384.5mm","297mm","384.5mm","297mm","384.5mm","293mm","T","0.00","SEN_POINT"
"SP559","SEN_POINT_11P8x9-2","384.5mm","283mm","384.5mm","283mm","384.5mm","279mm","T","0.00","SEN_POINT"
"SP531","SEN_POINT_11P8x9-2","384.5mm","269mm","384.5mm","269mm","384.5mm","265mm","T","0.00","SEN_POINT"
"SP503","SEN_POINT_11P8x9-2","384.5mm","255mm","384.5mm","255mm","384.5mm","251mm","T","0.00","SEN_POINT"
"SP475","SEN_POINT_11P8x9-2","384.5mm","241mm","384.5mm","241mm","384.5mm","237mm","T","0.00","SEN_POINT"
"SP447","SEN_POINT_11P8x9-2","384.5mm","227mm","384.5mm","227mm","384.5mm","223mm","T","0.00","SEN_POINT"
"SP419","SEN_POINT_11P8x9-2","384.5mm","213mm","384.5mm","213mm","384.5mm","209mm","T","0.00","SEN_POINT"
"SP391","SEN_POINT_11P8x9-2","384.5mm","199mm","384.5mm","199mm","384.5mm","195mm","T","0.00","SEN_POINT"
"SP363","SEN_POINT_11P8x9-2","384.5mm","185mm","384.5mm","185mm","384.5mm","181mm","T","0.00","SEN_POINT"
"SP335","SEN_POINT_11P8x9-2","384.5mm","171mm","384.5mm","171mm","384.5mm","167mm","T","0.00","SEN_POINT"
"SP307","SEN_POINT_11P8x9-2","384.5mm","157mm","384.5mm","157mm","384.5mm","153mm","T","0.00","SEN_POINT"
"SP279","SEN_POINT_11P8x9-2","384.5mm","143mm","384.5mm","143mm","384.5mm","139mm","T","0.00","SEN_POINT"
"SP251","SEN_POINT_11P8x9-2","384.5mm","129mm","384.5mm","129mm","384.5mm","125mm","T","0.00","SEN_POINT"
"SP223","SEN_POINT_11P8x9-2","384.5mm","115mm","384.5mm","115mm","384.5mm","111mm","T","0.00","SEN_POINT"
"SP195","SEN_POINT_11P8x9-2","384.5mm","101mm","384.5mm","101mm","384.5mm","97mm","T","0.00","SEN_POINT"
"SP167","SEN_POINT_11P8x9-2","384.5mm","87mm","384.5mm","87mm","384.5mm","83mm","T","0.00","SEN_POINT"
"SP139","SEN_POINT_11P8x9-2","384.5mm","73mm","384.5mm","73mm","384.5mm","69mm","T","0.00","SEN_POINT"
"SP111","SEN_POINT_11P8x9-2","384.5mm","59mm","384.5mm","59mm","384.5mm","55mm","T","0.00","SEN_POINT"
"SP83","SEN_POINT_11P8x9-2","384.5mm","45mm","384.5mm","45mm","384.5mm","41mm","T","0.00","SEN_POINT"
"SP55","SEN_POINT_11P8x9-2","384.5mm","31mm","384.5mm","31mm","384.5mm","27mm","T","0.00","SEN_POINT"
"SP950","SEN_POINT_11P8x9-2","370.5mm","479mm","370.5mm","479mm","370.5mm","475mm","T","0.00","SEN_POINT"
"SP922","SEN_POINT_11P8x9-2","370.5mm","465mm","370.5mm","465mm","370.5mm","461mm","T","0.00","SEN_POINT"
"SP894","SEN_POINT_11P8x9-2","370.5mm","451mm","370.5mm","451mm","370.5mm","447mm","T","0.00","SEN_POINT"
"SP866","SEN_POINT_11P8x9-2","370.5mm","437mm","370.5mm","437mm","370.5mm","433mm","T","0.00","SEN_POINT"
"SP838","SEN_POINT_11P8x9-2","370.5mm","423mm","370.5mm","423mm","370.5mm","419mm","T","0.00","SEN_POINT"
"SP810","SEN_POINT_11P8x9-2","370.5mm","409mm","370.5mm","409mm","370.5mm","405mm","T","0.00","SEN_POINT"
"SP782","SEN_POINT_11P8x9-2","370.5mm","395mm","370.5mm","395mm","370.5mm","391mm","T","0.00","SEN_POINT"
"SP754","SEN_POINT_11P8x9-2","370.5mm","381mm","370.5mm","381mm","370.5mm","377mm","T","0.00","SEN_POINT"
"SP726","SEN_POINT_11P8x9-2","370.5mm","367mm","370.5mm","367mm","370.5mm","363mm","T","0.00","SEN_POINT"
"SP698","SEN_POINT_11P8x9-2","370.5mm","353mm","370.5mm","353mm","370.5mm","349mm","T","0.00","SEN_POINT"
"SP670","SEN_POINT_11P8x9-2","370.5mm","339mm","370.5mm","339mm","370.5mm","335mm","T","0.00","SEN_POINT"
"SP642","SEN_POINT_11P8x9-2","370.5mm","325mm","370.5mm","325mm","370.5mm","321mm","T","0.00","SEN_POINT"
"SP614","SEN_POINT_11P8x9-2","370.5mm","311mm","370.5mm","311mm","370.5mm","307mm","T","0.00","SEN_POINT"
"SP586","SEN_POINT_11P8x9-2","370.5mm","297mm","370.5mm","297mm","370.5mm","293mm","T","0.00","SEN_POINT"
"SP558","SEN_POINT_11P8x9-2","370.5mm","283mm","370.5mm","283mm","370.5mm","279mm","T","0.00","SEN_POINT"
"SP530","SEN_POINT_11P8x9-2","370.5mm","269mm","370.5mm","269mm","370.5mm","265mm","T","0.00","SEN_POINT"
"SP502","SEN_POINT_11P8x9-2","370.5mm","255mm","370.5mm","255mm","370.5mm","251mm","T","0.00","SEN_POINT"
"SP474","SEN_POINT_11P8x9-2","370.5mm","241mm","370.5mm","241mm","370.5mm","237mm","T","0.00","SEN_POINT"
"SP446","SEN_POINT_11P8x9-2","370.5mm","227mm","370.5mm","227mm","370.5mm","223mm","T","0.00","SEN_POINT"
"SP418","SEN_POINT_11P8x9-2","370.5mm","213mm","370.5mm","213mm","370.5mm","209mm","T","0.00","SEN_POINT"
"SP390","SEN_POINT_11P8x9-2","370.5mm","199mm","370.5mm","199mm","370.5mm","195mm","T","0.00","SEN_POINT"
"SP362","SEN_POINT_11P8x9-2","370.5mm","185mm","370.5mm","185mm","370.5mm","181mm","T","0.00","SEN_POINT"
"SP334","SEN_POINT_11P8x9-2","370.5mm","171mm","370.5mm","171mm","370.5mm","167mm","T","0.00","SEN_POINT"
