"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SP175","SEN_POINT_11P8x9-2","104.5mm","101mm","104.5mm","101mm","104.5mm","97mm","T","0.00","SEN_POINT"
"SP147","SEN_POINT_11P8x9-2","104.5mm","87mm","104.5mm","87mm","104.5mm","83mm","T","0.00","SEN_POINT"
"SP119","SEN_POINT_11P8x9-2","104.5mm","73mm","104.5mm","73mm","104.5mm","69mm","T","0.00","SEN_POINT"
"SP91","SEN_POINT_11P8x9-2","104.5mm","59mm","104.5mm","59mm","104.5mm","55mm","T","0.00","SEN_POINT"
"SP63","SEN_POINT_11P8x9-2","104.5mm","45mm","104.5mm","45mm","104.5mm","41mm","T","0.00","SEN_POINT"
"SP35","SEN_POINT_11P8x9-2","104.5mm","31mm","104.5mm","31mm","104.5mm","27mm","T","0.00","SEN_POINT"
"SP930","SEN_POINT_11P8x9-2","90.5mm","479mm","90.5mm","479mm","90.5mm","475mm","T","0.00","SEN_POINT"
"SP902","SEN_POINT_11P8x9-2","90.5mm","465mm","90.5mm","465mm","90.5mm","461mm","T","0.00","SEN_POINT"
"SP874","SEN_POINT_11P8x9-2","90.5mm","451mm","90.5mm","451mm","90.5mm","447mm","T","0.00","SEN_POINT"
"SP846","SEN_POINT_11P8x9-2","90.5mm","437mm","90.5mm","437mm","90.5mm","433mm","T","0.00","SEN_POINT"
"SP818","SEN_POINT_11P8x9-2","90.5mm","423mm","90.5mm","423mm","90.5mm","419mm","T","0.00","SEN_POINT"
"SP790","SEN_POINT_11P8x9-2","90.5mm","409mm","90.5mm","409mm","90.5mm","405mm","T","0.00","SEN_POINT"
"SP762","SEN_POINT_11P8x9-2","90.5mm","395mm","90.5mm","395mm","90.5mm","391mm","T","0.00","SEN_POINT"
"SP734","SEN_POINT_11P8x9-2","90.5mm","381mm","90.5mm","381mm","90.5mm","377mm","T","0.00","SEN_POINT"
"SP706","SEN_POINT_11P8x9-2","90.5mm","367mm","90.5mm","367mm","90.5mm","363mm","T","0.00","SEN_POINT"
"SP678","SEN_POINT_11P8x9-2","90.5mm","353mm","90.5mm","353mm","90.5mm","349mm","T","0.00","SEN_POINT"
"SP650","SEN_POINT_11P8x9-2","90.5mm","339mm","90.5mm","339mm","90.5mm","335mm","T","0.00","SEN_POINT"
"SP622","SEN_POINT_11P8x9-2","90.5mm","325mm","90.5mm","325mm","90.5mm","321mm","T","0.00","SEN_POINT"
"SP594","SEN_POINT_11P8x9-2","90.5mm","311mm","90.5mm","311mm","90.5mm","307mm","T","0.00","SEN_POINT"
"SP566","SEN_POINT_11P8x9-2","90.5mm","297mm","90.5mm","297mm","90.5mm","293mm","T","0.00","SEN_POINT"
"SP538","SEN_POINT_11P8x9-2","90.5mm","283mm","90.5mm","283mm","90.5mm","279mm","T","0.00","SEN_POINT"
"SP510","SEN_POINT_11P8x9-2","90.5mm","269mm","90.5mm","269mm","90.5mm","265mm","T","0.00","SEN_POINT"
"SP482","SEN_POINT_11P8x9-2","90.5mm","255mm","90.5mm","255mm","90.5mm","251mm","T","0.00","SEN_POINT"
"SP454","SEN_POINT_11P8x9-2","90.5mm","241mm","90.5mm","241mm","90.5mm","237mm","T","0.00","SEN_POINT"
"SP426","SEN_POINT_11P8x9-2","90.5mm","227mm","90.5mm","227mm","90.5mm","223mm","T","0.00","SEN_POINT"
"SP398","SEN_POINT_11P8x9-2","90.5mm","213mm","90.5mm","213mm","90.5mm","209mm","T","0.00","SEN_POINT"
"SP370","SEN_POINT_11P8x9-2","90.5mm","199mm","90.5mm","199mm","90.5mm","195mm","T","0.00","SEN_POINT"
"SP342","SEN_POINT_11P8x9-2","90.5mm","185mm","90.5mm","185mm","90.5mm","181mm","T","0.00","SEN_POINT"
"SP314","SEN_POINT_11P8x9-2","90.5mm","171mm","90.5mm","171mm","90.5mm","167mm","T","0.00","SEN_POINT"
"SP286","SEN_POINT_11P8x9-2","90.5mm","157mm","90.5mm","157mm","90.5mm","153mm","T","0.00","SEN_POINT"
"SP258","SEN_POINT_11P8x9-2","90.5mm","143mm","90.5mm","143mm","90.5mm","139mm","T","0.00","SEN_POINT"
"SP230","SEN_POINT_11P8x9-2","90.5mm","129mm","90.5mm","129mm","90.5mm","125mm","T","0.00","SEN_POINT"
"SP202","SEN_POINT_11P8x9-2","90.5mm","115mm","90.5mm","115mm","90.5mm","111mm","T","0.00","SEN_POINT"
"SP174","SEN_POINT_11P8x9-2","90.5mm","101mm","90.5mm","101mm","90.5mm","97mm","T","0.00","SEN_POINT"
"SP146","SEN_POINT_11P8x9-2","90.5mm","87mm","90.5mm","87mm","90.5mm","83mm","T","0.00","SEN_POINT"
"SP118","SEN_POINT_11P8x9-2","90.5mm","73mm","90.5mm","73mm","90.5mm","69mm","T","0.00","SEN_POINT"
"SP90","SEN_POINT_11P8x9-2","90.5mm","59mm","90.5mm","59mm","90.5mm","55mm","T","0.00","SEN_POINT"
"SP62","SEN_POINT_11P8x9-2","90.5mm","45mm","90.5mm","45mm","90.5mm","41mm","T","0.00","SEN_POINT"
"SP34","SEN_POINT_11P8x9-2","90.5mm","31mm","90.5mm","31mm","90.5mm","27mm","T","0.00","SEN_POINT"
"SP929","SEN_POINT_11P8x9-2","76.5mm","479mm","76.5mm","479mm","76.5mm","475mm","T","0.00","SEN_POINT"
"SP901","SEN_POINT_11P8x9-2","76.5mm","465mm","76.5mm","465mm","76.5mm","461mm","T","0.00","SEN_POINT"
"SP873","SEN_POINT_11P8x9-2","76.5mm","451mm","76.5mm","451mm","76.5mm","447mm","T","0.00","SEN_POINT"
"SP845","SEN_POINT_11P8x9-2","76.5mm","437mm","76.5mm","437mm","76.5mm","433mm","T","0.00","SEN_POINT"
"SP817","SEN_POINT_11P8x9-2","76.5mm","423mm","76.5mm","423mm","76.5mm","419mm","T","0.00","SEN_POINT"
"SP789","SEN_POINT_11P8x9-2","76.5mm","409mm","76.5mm","409mm","76.5mm","405mm","T","0.00","SEN_POINT"
"SP761","SEN_POINT_11P8x9-2","76.5mm","395mm","76.5mm","395mm","76.5mm","391mm","T","0.00","SEN_POINT"
"SP733","SEN_POINT_11P8x9-2","76.5mm","381mm","76.5mm","381mm","76.5mm","377mm","T","0.00","SEN_POINT"
"SP705","SEN_POINT_11P8x9-2","76.5mm","367mm","76.5mm","367mm","76.5mm","363mm","T","0.00","SEN_POINT"
"SP677","SEN_POINT_11P8x9-2","76.5mm","353mm","76.5mm","353mm","76.5mm","349mm","T","0.00","SEN_POINT"
"SP649","SEN_POINT_11P8x9-2","76.5mm","339mm","76.5mm","339mm","76.5mm","335mm","T","0.00","SEN_POINT"
"SP621","SEN_POINT_11P8x9-2","76.5mm","325mm","76.5mm","325mm","76.5mm","321mm","T","0.00","SEN_POINT"
"SP593","SEN_POINT_11P8x9-2","76.5mm","311mm","76.5mm","311mm","76.5mm","307mm","T","0.00","SEN_POINT"
"SP565","SEN_POINT_11P8x9-2","76.5mm","297mm","76.5mm","297mm","76.5mm","293mm","T","0.00","SEN_POINT"
"SP537","SEN_POINT_11P8x9-2","76.5mm","283mm","76.5mm","283mm","76.5mm","279mm","T","0.00","SEN_POINT"
"SP509","SEN_POINT_11P8x9-2","76.5mm","269mm","76.5mm","269mm","76.5mm","265mm","T","0.00","SEN_POINT"
"SP481","SEN_POINT_11P8x9-2","76.5mm","255mm","76.5mm","255mm","76.5mm","251mm","T","0.00","SEN_POINT"
"SP453","SEN_POINT_11P8x9-2","76.5mm","241mm","76.5mm","241mm","76.5mm","237mm","T","0.00","SEN_POINT"
"SP425","SEN_POINT_11P8x9-2","76.5mm","227mm","76.5mm","227mm","76.5mm","223mm","T","0.00","SEN_POINT"
"SP397","SEN_POINT_11P8x9-2","76.5mm","213mm","76.5mm","213mm","76.5mm","209mm","T","0.00","SEN_POINT"
"SP369","SEN_POINT_11P8x9-2","76.5mm","199mm","76.5mm","199mm","76.5mm","195mm","T","0.00","SEN_POINT"
"SP341","SEN_POINT_11P8x9-2","76.5mm","185mm","76.5mm","185mm","76.5mm","181mm","T","0.00","SEN_POINT"
"SP313","SEN_POINT_11P8x9-2","76.5mm","171mm","76.5mm","171mm","76.5mm","167mm","T","0.00","SEN_POINT"
"SP285","SEN_POINT_11P8x9-2","76.5mm","157mm","76.5mm","157mm","76.5mm","153mm","T","0.00","SEN_POINT"
"SP257","SEN_POINT_11P8x9-2","76.5mm","143mm","76.5mm","143mm","76.5mm","139mm","T","0.00","SEN_POINT"
"SP229","SEN_POINT_11P8x9-2","76.5mm","129mm","76.5mm","129mm","76.5mm","125mm","T","0.00","SEN_POINT"
"SP201","SEN_POINT_11P8x9-2","76.5mm","115mm","76.5mm","115mm","76.5mm","111mm","T","0.00","SEN_POINT"
"SP173","SEN_POINT_11P8x9-2","76.5mm","101mm","76.5mm","101mm","76.5mm","97mm","T","0.00","SEN_POINT"
"SP145","SEN_POINT_11P8x9-2","76.5mm","87mm","76.5mm","87mm","76.5mm","83mm","T","0.00","SEN_POINT"
"SP117","SEN_POINT_11P8x9-2","76.5mm","73mm","76.5mm","73mm","76.5mm","69mm","T","0.00","SEN_POINT"
"SP89","SEN_POINT_11P8x9-2","76.5mm","59mm","76.5mm","59mm","76.5mm","55mm","T","0.00","SEN_POINT"
"SP61","SEN_POINT_11P8x9-2","76.5mm","45mm","76.5mm","45mm","76.5mm","41mm","T","0.00","SEN_POINT"
"SP33","SEN_POINT_11P8x9-2","76.5mm","31mm","76.5mm","31mm","76.5mm","27mm","T","0.00","SEN_POINT"
"SP928","SEN_POINT_11P8x9-2","62.5mm","479mm","62.5mm","479mm","62.5mm","475mm","T","0.00","SEN_POINT"
"SP900","SEN_POINT_11P8x9-2","62.5mm","465mm","62.5mm","465mm","62.5mm","461mm","T","0.00","SEN_POINT"
"SP872","SEN_POINT_11P8x9-2","62.5mm","451mm","62.5mm","451mm","62.5mm","447mm","T","0.00","SEN_POINT"
"SP844","SEN_POINT_11P8x9-2","62.5mm","437mm","62.5mm","437mm","62.5mm","433mm","T","0.00","SEN_POINT"
"SP816","SEN_POINT_11P8x9-2","62.5mm","423mm","62.5mm","423mm","62.5mm","419mm","T","0.00","SEN_POINT"
"SP788","SEN_POINT_11P8x9-2","62.5mm","409mm","62.5mm","409mm","62.5mm","405mm","T","0.00","SEN_POINT"
"SP760","SEN_POINT_11P8x9-2","62.5mm","395mm","62.5mm","395mm","62.5mm","391mm","T","0.00","SEN_POINT"
"SP732","SEN_POINT_11P8x9-2","62.5mm","381mm","62.5mm","381mm","62.5mm","377mm","T","0.00","SEN_POINT"
"SP704","SEN_POINT_11P8x9-2","62.5mm","367mm","62.5mm","367mm","62.5mm","363mm","T","0.00","SEN_POINT"
"SP676","SEN_POINT_11P8x9-2","62.5mm","353mm","62.5mm","353mm","62.5mm","349mm","T","0.00","SEN_POINT"
"SP648","SEN_POINT_11P8x9-2","62.5mm","339mm","62.5mm","339mm","62.5mm","335mm","T","0.00","SEN_POINT"
"SP620","SEN_POINT_11P8x9-2","62.5mm","325mm","62.5mm","325mm","62.5mm","321mm","T","0.00","SEN_POINT"
"SP592","SEN_POINT_11P8x9-2","62.5mm","311mm","62.5mm","311mm","62.5mm","307mm","T","0.00","SEN_POINT"
"SP564","SEN_POINT_11P8x9-2","62.5mm","297mm","62.5mm","297mm","62.5mm","293mm","T","0.00","SEN_POINT"
"SP536","SEN_POINT_11P8x9-2","62.5mm","283mm","62.5mm","283mm","62.5mm","279mm","T","0.00","SEN_POINT"
"SP508","SEN_POINT_11P8x9-2","62.5mm","269mm","62.5mm","269mm","62.5mm","265mm","T","0.00","SEN_POINT"
"SP480","SEN_POINT_11P8x9-2","62.5mm","255mm","62.5mm","255mm","62.5mm","251mm","T","0.00","SEN_POINT"
"SP452","SEN_POINT_11P8x9-2","62.5mm","241mm","62.5mm","241mm","62.5mm","237mm","T","0.00","SEN_POINT"
"SP424","SEN_POINT_11P8x9-2","62.5mm","227mm","62.5mm","227mm","62.5mm","223mm","T","0.00","SEN_POINT"
"SP396","SEN_POINT_11P8x9-2","62.5mm","213mm","62.5mm","213mm","62.5mm","209mm","T","0.00","SEN_POINT"
"SP368","SEN_POINT_11P8x9-2","62.5mm","199mm","62.5mm","199mm","62.5mm","195mm","T","0.00","SEN_POINT"
"SP340","SEN_POINT_11P8x9-2","62.5mm","185mm","62.5mm","185mm","62.5mm","181mm","T","0.00","SEN_POINT"
"SP312","SEN_POINT_11P8x9-2","62.5mm","171mm","62.5mm","171mm","62.5mm","167mm","T","0.00","SEN_POINT"
"SP284","SEN_POINT_11P8x9-2","62.5mm","157mm","62.5mm","157mm","62.5mm","153mm","T","0.00","SEN_POINT"
"SP256","SEN_POINT_11P8x9-2","62.5mm","143mm","62.5mm","143mm","62.5mm","139mm","T","0.00","SEN_POINT"
"SP228","SEN_POINT_11P8x9-2","62.5mm","129mm","62.5mm","129mm","62.5mm","125mm","T","0.00","SEN_POINT"
"SP200","SEN_POINT_11P8x9-2","62.5mm","115mm","62.5mm","115mm","62.5mm","111mm","T","0.00","SEN_POINT"
"SP172","SEN_POINT_11P8x9-2","62.5mm","101mm","62.5mm","101mm","62.5mm","97mm","T","0.00","SEN_POINT"
"SP144","SEN_POINT_11P8x9-2","62.5mm","87mm","62.5mm","87mm","62.5mm","83mm","T","0.00","SEN_POINT"
"SP116","SEN_POINT_11P8x9-2","62.5mm","73mm","62.5mm","73mm","62.5mm","69mm","T","0.00","SEN_POINT"
"SP88","SEN_POINT_11P8x9-2","62.5mm","59mm","62.5mm","59mm","62.5mm","55mm","T","0.00","SEN_POINT"
"SP60","SEN_POINT_11P8x9-2","62.5mm","45mm","62.5mm","45mm","62.5mm","41mm","T","0.00","SEN_POINT"
"SP32","SEN_POINT_11P8x9-2","62.5mm","31mm","62.5mm","31mm","62.5mm","27mm","T","0.00","SEN_POINT"
"SP927","SEN_POINT_11P8x9-2","48.5mm","479mm","48.5mm","479mm","48.5mm","475mm","T","0.00","SEN_POINT"
"SP899","SEN_POINT_11P8x9-2","48.5mm","465mm","48.5mm","465mm","48.5mm","461mm","T","0.00","SEN_POINT"
"SP871","SEN_POINT_11P8x9-2","48.5mm","451mm","48.5mm","451mm","48.5mm","447mm","T","0.00","SEN_POINT"
"SP843","SEN_POINT_11P8x9-2","48.5mm","437mm","48.5mm","437mm","48.5mm","433mm","T","0.00","SEN_POINT"
"SP815","SEN_POINT_11P8x9-2","48.5mm","423mm","48.5mm","423mm","48.5mm","419mm","T","0.00","SEN_POINT"
"SP787","SEN_POINT_11P8x9-2","48.5mm","409mm","48.5mm","409mm","48.5mm","405mm","T","0.00","SEN_POINT"
"SP759","SEN_POINT_11P8x9-2","48.5mm","395mm","48.5mm","395mm","48.5mm","391mm","T","0.00","SEN_POINT"
"SP731","SEN_POINT_11P8x9-2","48.5mm","381mm","48.5mm","381mm","48.5mm","377mm","T","0.00","SEN_POINT"
"SP703","SEN_POINT_11P8x9-2","48.5mm","367mm","48.5mm","367mm","48.5mm","363mm","T","0.00","SEN_POINT"
"SP675","SEN_POINT_11P8x9-2","48.5mm","353mm","48.5mm","353mm","48.5mm","349mm","T","0.00","SEN_POINT"
"SP647","SEN_POINT_11P8x9-2","48.5mm","339mm","48.5mm","339mm","48.5mm","335mm","T","0.00","SEN_POINT"
"SP619","SEN_POINT_11P8x9-2","48.5mm","325mm","48.5mm","325mm","48.5mm","321mm","T","0.00","SEN_POINT"
"SP591","SEN_POINT_11P8x9-2","48.5mm","311mm","48.5mm","311mm","48.5mm","307mm","T","0.00","SEN_POINT"
"SP563","SEN_POINT_11P8x9-2","48.5mm","297mm","48.5mm","297mm","48.5mm","293mm","T","0.00","SEN_POINT"
"SP535","SEN_POINT_11P8x9-2","48.5mm","283mm","48.5mm","283mm","48.5mm","279mm","T","0.00","SEN_POINT"
"SP507","SEN_POINT_11P8x9-2","48.5mm","269mm","48.5mm","269mm","48.5mm","265mm","T","0.00","SEN_POINT"
"SP479","SEN_POINT_11P8x9-2","48.5mm","255mm","48.5mm","255mm","48.5mm","251mm","T","0.00","SEN_POINT"
"SP451","SEN_POINT_11P8x9-2","48.5mm","241mm","48.5mm","241mm","48.5mm","237mm","T","0.00","SEN_POINT"
"SP423","SEN_POINT_11P8x9-2","48.5mm","227mm","48.5mm","227mm","48.5mm","223mm","T","0.00","SEN_POINT"
"SP395","SEN_POINT_11P8x9-2","48.5mm","213mm","48.5mm","213mm","48.5mm","209mm","T","0.00","SEN_POINT"
"SP367","SEN_POINT_11P8x9-2","48.5mm","199mm","48.5mm","199mm","48.5mm","195mm","T","0.00","SEN_POINT"
"SP339","SEN_POINT_11P8x9-2","48.5mm","185mm","48.5mm","185mm","48.5mm","181mm","T","0.00","SEN_POINT"
"SP311","SEN_POINT_11P8x9-2","48.5mm","171mm","48.5mm","171mm","48.5mm","167mm","T","0.00","SEN_POINT"
"SP283","SEN_POINT_11P8x9-2","48.5mm","157mm","48.5mm","157mm","48.5mm","153mm","T","0.00","SEN_POINT"
"SP255","SEN_POINT_11P8x9-2","48.5mm","143mm","48.5mm","143mm","48.5mm","139mm","T","0.00","SEN_POINT"
"SP227","SEN_POINT_11P8x9-2","48.5mm","129mm","48.5mm","129mm","48.5mm","125mm","T","0.00","SEN_POINT"
"SP199","SEN_POINT_11P8x9-2","48.5mm","115mm","48.5mm","115mm","48.5mm","111mm","T","0.00","SEN_POINT"
"SP171","SEN_POINT_11P8x9-2","48.5mm","101mm","48.5mm","101mm","48.5mm","97mm","T","0.00","SEN_POINT"
"SP143","SEN_POINT_11P8x9-2","48.5mm","87mm","48.5mm","87mm","48.5mm","83mm","T","0.00","SEN_POINT"
"SP115","SEN_POINT_11P8x9-2","48.5mm","73mm","48.5mm","73mm","48.5mm","69mm","T","0.00","SEN_POINT"
"SP87","SEN_POINT_11P8x9-2","48.5mm","59mm","48.5mm","59mm","48.5mm","55mm","T","0.00","SEN_POINT"
"SP59","SEN_POINT_11P8x9-2","48.5mm","45mm","48.5mm","45mm","48.5mm","41mm","T","0.00","SEN_POINT"
"SP31","SEN_POINT_11P8x9-2","48.5mm","31mm","48.5mm","31mm","48.5mm","27mm","T","0.00","SEN_POINT"
"SP926","SEN_POINT_11P8x9-2","34.5mm","479mm","34.5mm","479mm","34.5mm","475mm","T","0.00","SEN_POINT"
"SP898","SEN_POINT_11P8x9-2","34.5mm","465mm","34.5mm","465mm","34.5mm","461mm","T","0.00","SEN_POINT"
"SP870","SEN_POINT_11P8x9-2","34.5mm","451mm","34.5mm","451mm","34.5mm","447mm","T","0.00","SEN_POINT"
"SP842","SEN_POINT_11P8x9-2","34.5mm","437mm","34.5mm","437mm","34.5mm","433mm","T","0.00","SEN_POINT"
"SP814","SEN_POINT_11P8x9-2","34.5mm","423mm","34.5mm","423mm","34.5mm","419mm","T","0.00","SEN_POINT"
"SP786","SEN_POINT_11P8x9-2","34.5mm","409mm","34.5mm","409mm","34.5mm","405mm","T","0.00","SEN_POINT"
"SP758","SEN_POINT_11P8x9-2","34.5mm","395mm","34.5mm","395mm","34.5mm","391mm","T","0.00","SEN_POINT"
"SP730","SEN_POINT_11P8x9-2","34.5mm","381mm","34.5mm","381mm","34.5mm","377mm","T","0.00","SEN_POINT"
"SP702","SEN_POINT_11P8x9-2","34.5mm","367mm","34.5mm","367mm","34.5mm","363mm","T","0.00","SEN_POINT"
"SP674","SEN_POINT_11P8x9-2","34.5mm","353mm","34.5mm","353mm","34.5mm","349mm","T","0.00","SEN_POINT"
"SP646","SEN_POINT_11P8x9-2","34.5mm","339mm","34.5mm","339mm","34.5mm","335mm","T","0.00","SEN_POINT"
"SP618","SEN_POINT_11P8x9-2","34.5mm","325mm","34.5mm","325mm","34.5mm","321mm","T","0.00","SEN_POINT"
"SP590","SEN_POINT_11P8x9-2","34.5mm","311mm","34.5mm","311mm","34.5mm","307mm","T","0.00","SEN_POINT"
"SP562","SEN_POINT_11P8x9-2","34.5mm","297mm","34.5mm","297mm","34.5mm","293mm","T","0.00","SEN_POINT"
"SP534","SEN_POINT_11P8x9-2","34.5mm","283mm","34.5mm","283mm","34.5mm","279mm","T","0.00","SEN_POINT"
"SP506","SEN_POINT_11P8x9-2","34.5mm","269mm","34.5mm","269mm","34.5mm","265mm","T","0.00","SEN_POINT"
"SP478","SEN_POINT_11P8x9-2","34.5mm","255mm","34.5mm","255mm","34.5mm","251mm","T","0.00","SEN_POINT"
"SP450","SEN_POINT_11P8x9-2","34.5mm","241mm","34.5mm","241mm","34.5mm","237mm","T","0.00","SEN_POINT"
"SP422","SEN_POINT_11P8x9-2","34.5mm","227mm","34.5mm","227mm","34.5mm","223mm","T","0.00","SEN_POINT"
"SP394","SEN_POINT_11P8x9-2","34.5mm","213mm","34.5mm","213mm","34.5mm","209mm","T","0.00","SEN_POINT"
"SP366","SEN_POINT_11P8x9-2","34.5mm","199mm","34.5mm","199mm","34.5mm","195mm","T","0.00","SEN_POINT"
"SP338","SEN_POINT_11P8x9-2","34.5mm","185mm","34.5mm","185mm","34.5mm","181mm","T","0.00","SEN_POINT"
"SP310","SEN_POINT_11P8x9-2","34.5mm","171mm","34.5mm","171mm","34.5mm","167mm","T","0.00","SEN_POINT"
"SP282","SEN_POINT_11P8x9-2","34.5mm","157mm","34.5mm","157mm","34.5mm","153mm","T","0.00","SEN_POINT"
"SP254","SEN_POINT_11P8x9-2","34.5mm","143mm","34.5mm","143mm","34.5mm","139mm","T","0.00","SEN_POINT"
"SP226","SEN_POINT_11P8x9-2","34.5mm","129mm","34.5mm","129mm","34.5mm","125mm","T","0.00","SEN_POINT"
"SP198","SEN_POINT_11P8x9-2","34.5mm","115mm","34.5mm","115mm","34.5mm","111mm","T","0.00","SEN_POINT"
"SP170","SEN_POINT_11P8x9-2","34.5mm","101mm","34.5mm","101mm","34.5mm","97mm","T","0.00","SEN_POINT"
"SP142","SEN_POINT_11P8x9-2","34.5mm","87mm","34.5mm","87mm","34.5mm","83mm","T","0.00","SEN_POINT"
"SP114","SEN_POINT_11P8x9-2","34.5mm","73mm","34.5mm","73mm","34.5mm","69mm","T","0.00","SEN_POINT"
"SP86","SEN_POINT_11P8x9-2","34.5mm","59mm","34.5mm","59mm","34.5mm","55mm","T","0.00","SEN_POINT"
"SP58","SEN_POINT_11P8x9-2","34.5mm","45mm","34.5mm","45mm","34.5mm","41mm","T","0.00","SEN_POINT"
"SP30","SEN_POINT_11P8x9-2","34.5mm","31mm","34.5mm","31mm","34.5mm","27mm","T","0.00","SEN_POINT"
"SP925","SEN_POINT_11P8x9-2","20.5mm","479mm","20.5mm","479mm","20.5mm","475mm","T","0.00","SEN_POINT"
"SP897","SEN_POINT_11P8x9-2","20.5mm","465mm","20.5mm","465mm","20.5mm","461mm","T","0.00","SEN_POINT"
"SP869","SEN_POINT_11P8x9-2","20.5mm","451mm","20.5mm","451mm","20.5mm","447mm","T","0.00","SEN_POINT"
"SP841","SEN_POINT_11P8x9-2","20.5mm","437mm","20.5mm","437mm","20.5mm","433mm","T","0.00","SEN_POINT"
"SP813","SEN_POINT_11P8x9-2","20.5mm","423mm","20.5mm","423mm","20.5mm","419mm","T","0.00","SEN_POINT"
"SP785","SEN_POINT_11P8x9-2","20.5mm","409mm","20.5mm","409mm","20.5mm","405mm","T","0.00","SEN_POINT"
"SP757","SEN_POINT_11P8x9-2","20.5mm","395mm","20.5mm","395mm","20.5mm","391mm","T","0.00","SEN_POINT"
"SP729","SEN_POINT_11P8x9-2","20.5mm","381mm","20.5mm","381mm","20.5mm","377mm","T","0.00","SEN_POINT"
"SP701","SEN_POINT_11P8x9-2","20.5mm","367mm","20.5mm","367mm","20.5mm","363mm","T","0.00","SEN_POINT"
"SP673","SEN_POINT_11P8x9-2","20.5mm","353mm","20.5mm","353mm","20.5mm","349mm","T","0.00","SEN_POINT"
"SP645","SEN_POINT_11P8x9-2","20.5mm","339mm","20.5mm","339mm","20.5mm","335mm","T","0.00","SEN_POINT"
"SP617","SEN_POINT_11P8x9-2","20.5mm","325mm","20.5mm","325mm","20.5mm","321mm","T","0.00","SEN_POINT"
"SP589","SEN_POINT_11P8x9-2","20.5mm","311mm","20.5mm","311mm","20.5mm","307mm","T","0.00","SEN_POINT"
"SP561","SEN_POINT_11P8x9-2","20.5mm","297mm","20.5mm","297mm","20.5mm","293mm","T","0.00","SEN_POINT"
"SP533","SEN_POINT_11P8x9-2","20.5mm","283mm","20.5mm","283mm","20.5mm","279mm","T","0.00","SEN_POINT"
"SP505","SEN_POINT_11P8x9-2","20.5mm","269mm","20.5mm","269mm","20.5mm","265mm","T","0.00","SEN_POINT"
"SP477","SEN_POINT_11P8x9-2","20.5mm","255mm","20.5mm","255mm","20.5mm","251mm","T","0.00","SEN_POINT"
"SP449","SEN_POINT_11P8x9-2","20.5mm","241mm","20.5mm","241mm","20.5mm","237mm","T","0.00","SEN_POINT"
"SP421","SEN_POINT_11P8x9-2","20.5mm","227mm","20.5mm","227mm","20.5mm","223mm","T","0.00","SEN_POINT"
"SP393","SEN_POINT_11P8x9-2","20.5mm","213mm","20.5mm","213mm","20.5mm","209mm","T","0.00","SEN_POINT"
"SP365","SEN_POINT_11P8x9-2","20.5mm","199mm","20.5mm","199mm","20.5mm","195mm","T","0.00","SEN_POINT"
"SP337","SEN_POINT_11P8x9-2","20.5mm","185mm","20.5mm","185mm","20.5mm","181mm","T","0.00","SEN_POINT"
"SP309","SEN_POINT_11P8x9-2","20.5mm","171mm","20.5mm","171mm","20.5mm","167mm","T","0.00","SEN_POINT"
"SP281","SEN_POINT_11P8x9-2","20.5mm","157mm","20.5mm","157mm","20.5mm","153mm","T","0.00","SEN_POINT"
"SP253","SEN_POINT_11P8x9-2","20.5mm","143mm","20.5mm","143mm","20.5mm","139mm","T","0.00","SEN_POINT"
"SP225","SEN_POINT_11P8x9-2","20.5mm","129mm","20.5mm","129mm","20.5mm","125mm","T","0.00","SEN_POINT"
"SP197","SEN_POINT_11P8x9-2","20.5mm","115mm","20.5mm","115mm","20.5mm","111mm","T","0.00","SEN_POINT"
"SP169","SEN_POINT_11P8x9-2","20.5mm","101mm","20.5mm","101mm","20.5mm","97mm","T","0.00","SEN_POINT"
"SP141","SEN_POINT_11P8x9-2","20.5mm","87mm","20.5mm","87mm","20.5mm","83mm","T","0.00","SEN_POINT"
"SP113","SEN_POINT_11P8x9-2","20.5mm","73mm","20.5mm","73mm","20.5mm","69mm","T","0.00","SEN_POINT"
"SP85","SEN_POINT_11P8x9-2","20.5mm","59mm","20.5mm","59mm","20.5mm","55mm","T","0.00","SEN_POINT"
"SP57","SEN_POINT_11P8x9-2","20.5mm","45mm","20.5mm","45mm","20.5mm","41mm","T","0.00","SEN_POINT"
"SP29","SEN_POINT_11P8x9-2","20.5mm","31mm","20.5mm","31mm","20.5mm","27mm","T","0.00","SEN_POINT"
"SP924","SEN_POINT_11P8x9-2","6.5mm","479mm","6.5mm","479mm","6.5mm","475mm","T","0.00","SEN_POINT"
"SP896","SEN_POINT_11P8x9-2","6.5mm","465mm","6.5mm","465mm","6.5mm","461mm","T","0.00","SEN_POINT"
"SP868","SEN_POINT_11P8x9-2","6.5mm","451mm","6.5mm","451mm","6.5mm","447mm","T","0.00","SEN_POINT"
"SP840","SEN_POINT_11P8x9-2","6.5mm","437mm","6.5mm","437mm","6.5mm","433mm","T","0.00","SEN_POINT"
"SP812","SEN_POINT_11P8x9-2","6.5mm","423mm","6.5mm","423mm","6.5mm","419mm","T","0.00","SEN_POINT"
"SP784","SEN_POINT_11P8x9-2","6.5mm","409mm","6.5mm","409mm","6.5mm","405mm","T","0.00","SEN_POINT"
"SP756","SEN_POINT_11P8x9-2","6.5mm","395mm","6.5mm","395mm","6.5mm","391mm","T","0.00","SEN_POINT"
